Judeo-Christian religious books (Old Testament)	https://www.e-sword.net/ (American Standard Version, 1901) (King James Version) (Revised Standard Version w/ Apocrypha); The Apocrypha and Pseudepigrapha of the Old Testament, R. H. Charles, Oxford: University Press, 1913; The Forgotten Books of Eden, 1926, Rutherford H. Platt, Jr.; The Third book of Enoch, 1928, Hugo Odeberg; Sibylline Oracles, Milton S. Terry, New York: Eaton & Mains, 1899; The Old Testament Pseudepigrapha, Vol. 1, 1983, James H. Charlesworth; The Old Testament Pseudepigrapha, Vol. 2, 1985, James H. Charlesworth; The Apocalypse of Abraham, 1919, G. H. Box; Nag Hammadi Library, 1981, George W. MacRae; The Forgotten Books of Eden, 1926, Rutherford H. Platt, Jr.; Apocrypha anecdota 2. Texts and Studies, 1897, M. R. James; The Ante-Nicene Fathers, 1885-1903, Arthur Cleveland Coxe & Allan Menzies; Jewish Quarterly Review, 1898, F. C. Conybeare; The Book of the Cave of Treasures, 1927, E. A. Wallis Budge; Joseph and Aseneth, 1918, E. W. Brooks; Biblical Antiquities of Philo, 1917, M. R. James; 4 Baruch, Robert A. Kraft (ed.), University of Pennsylvania, 1987; The Five Books of Maccabees, 1832, Henry Cotton; Some Apocryphal Psalms in Syriac, 1886-7, W. Wright	/en/index/books_judeo_christianism_ot
“Buddhist Suttas” (SBE11), Translated from Pâli by T.W. Rhys Davids [1881]	---	
“Vinaya Texts (3 parts)”, The Pâtimokkha, The Mahâvagga, The Kullavagga (SBE13), Translated from the Pâli by T.W. Rhys Davids and Herman Oldenberg. [1881]	---	
“The Questions of King Milinda (2 parts)”, translated by T. W. Rhys Davids [1890-94]	---	
“Dialogues of the Buddha”, (“The Dîgha-Nikâya”), Translated from the Pâli by T.W. Rhys Davids; London, H. Frowde, Oxford University Press [1899]	---	
“Buddhism in Translations”, by Henry Clarke Warren [1896]	---	
“The Udâna”, Translated by Dawsonne Melanchthon Strong [1902]	---	
“Psalms of the Sisters”, by Caroline A. F. Rhys Davids [1909]	---	
“The Buddha's Way of Virtue”, tr. by W.D.C. Wagiswara and K.J. Saunders [1920]	---	
“The Jataka (6 volumes)”, tr. by Robert Chalmers ed. E.B. Cowell [1895-1907]	---	
“Indian Fairy Tales”, by Joseph Jacobs [1912]	---	
“Jataka Tales”, by Ellen C. Babbit [1912]	---	
“Buddhist Scriptures”, by E. J. Thomas [1913]	---	
Northern Buddhism	<group>	
“The Fo-Sho-Hing-Tsan-King” (SBE19) [1883]	---	
“Buddhist Mahâyâna Texts” (SBE 49) [1894], Translated by E.B. Cowell, F. Max Müller, and J. Kakakusu.	---	
“Saddharma-pundarîka” (The Lotus Sutra) (SBE 21), tr. by H. Kern [1884]	---	
“She-rab Dong-bu” (The Tree of Wisdom), by Nagarjuna; edited and translated by W. L. Cambell [1919]	---	
“Esoteric Teachings of the Tibetan Tantra”, edited and translated by C.A. Musés [1961]	---	
“Açvaghosha's Discourse on the Awakening of Faith in the Mahâyâna”, tr. by Teitaro Suzuki [1900]	---	
“The Awakening of Faith of Ashvagosha”, tr. by Timothy Richard [1907]	---	
“The Path of Light”, tr. by L.D. Barnett [1909]	---	
“The Gateless Gate”, by Ekai [Huikai], called Mu-mon, tr. by Nyogen Senzaki and Paul Reps [1934]	---	
“Chinese Buddhism”, by Joseph Edkins [1893]	---	
“Buddhism In Tibet”, by Emil Schlaginteweit [1863]	---	
“The Religion of the Samurai”, by Kaiten Nukariya [1913]	---	
“Shinran and His Work: Studies in Shinshu Theology”, by Arthur Lloyd [1910]	---	
“The Creed of Half Japan”, by Arthur Lloyd [1911]	---	
“Principal Teachings of the True Sect of Pure Land”, by Yejitsu Okusa [1915]	---	
“Buddhist Psalms”, by S. Yamabe and L. Adams Beck [1921]	---	
“Manual of Zen Buddhism”, by Daisetz Teitaro Suzuki. [1935]	---	
“Zen for Americans”, by Soyen Shaku, translated by Daisetz Teitaro Suzuki. [1906]	---	
“Mysticism, Christian and Buddhist”, by Daisetz Teitaro Suzuki. [1957, not renewed]	---	
“Gleanings In Buddha-Fields”, by Lafcadio Hearn [1897].	---	
“The Nō Plays of Japan”, by Arthur Waley [1921].	---	
“Buddhism and Immortality”, by William Sturgis Bigelow [1908].	---	
“India in Primitive Christianity”, by Arthur Lillie [1909].	---	
“The Way to Nirvana”, by L. de la Vallée Poussin [1917].	---	
“The Book of Tea”, by Kakuzo Okakura [1906]	---	
“The Ideals of the East”, by Kakuzo Okakura [1904]	---	
“Journal Articles about Buddhism”	---	
Religious books of Hinduism	https://archive.sacred-texts.com/hin/index.htm	/en/index/books_hinduism
Vedas: Rig Veda, Sama Veda, Yajur Veda and Atharva Veda	<group>	
“The Rig-Veda”, translated by Ralph Griffith [1896]	---	
“Vedic Hymns, Part I” (SBE 32), Hymns to the Maruts, Rudra, Vâyu and Vâta, tr. by F. Max Müller [1891]	---	
“Vedic Hymns, Part II” (SBE 46), Hymns to Agni, tr. by Hermann Oldenberg [1897]	---	
“A Vedic Reader for Students (excerpts)”, by A.A. Macdonell [1917]	---	
“The Sama-Veda”, translated by Ralph Griffith [1895]	---	
“The Yajur Veda (Taittiriya Sanhita)”, translated by Arthur Berriedale Keith [1914]	---	
“The Texts of the White Yajurveda”, translated by Ralph T.H. Griffith [1899]	---	
“The Hymns of the Atharvaveda”, translated by Ralph T.H. Griffith [1895-6]	---	
“The Atharva-Veda”, translated by Maurice Bloomfield [1897]	---	
Upanishads	<group>	
“The Upanishads, Part I” (SBE 1), Max Müller, translator [1879]	---	
“The Upanishads, Part II” (SBE 15), Max Müller, translator [1884]	---	
“Thirty Minor Upanishads”, by K. Narayanasvami Aiyar [1914]	---	
“From the Upanishads”, Charles Johnston, translator [1889]	---	
Puranas	<group>	
“The Vishnu Purana”, by H.H. Wilson [1840]	---	
“The Garuda Purana”, translated by Ernest Wood and S.V. Subrahmanyam [1911]	---	
“The S'rimad Devî Bhâgawatam”, translated by Swami Vijnanananda (Hari Prasanna Chatterji) [1921]	---	
“The Devî Gita”, translated by Swami Vijnanananda (Hari Prasanna Chatterji) [1921]	---	
“The Prem Sagur”, (Prem Sagar) by Lallu Lal, translated by W. Hollings [1848]	---	
“The Transmigration of the Seven Brahmans”, translated by Henry David Thoreau [1931]	---	
“Kundalini: The Mother of the Universe”, by Rishi Singh Gherwal [1930]	---	
Other Primary Texts	<group>	
“The Laws of Manu”, George Bühler, translator [1886] (Sacred Books of the East, vol. 25)	---	
“The Sacred Laws of the Âryas”, Part I (SBE 2), George Bühler translator [1879] (Sacred Books of the East, Vol. 2)	---	
“The Sacred Laws of the Âryas”, Part II (SBE 14), George Bühler translator [1879] (Sacred Books of the East, Vol. 14)	---	
“The Institutes of Vishnu” (SBE 7), Julius Jolly, translator [1880] (Sacred Books of the East, Vol. 7)	---	
“The Minor Law Books” (SBE 33), Julius Jolly, translator [1880] (Sacred Books of the East, Vol. 33)	---	
“Satapatha Brahmana, (5 parts)”	---	
“The Grihya Sutras, (2 parts)”, Hermann Oldenberg, tr. [1886-1892]	---	
The Epics	<group>	
“Mahabharata”	---	
“Ramayana”	---	
“Bhagavad Gita”	---	
Vedanta	<group>	
“The Vedântâ-Sûtras” (SBE 48), with commentary by Râmânuja, translated by George Thibaut; (Sacred Books of the East, Vol. 48) [1904]	---	
“The Vedântâ-Sûtras Part I” (SBE 34), with commentary by Sankarâkârya, translated by George Thibaut; (Sacred Books of the East, Vol. 34) [1890]	---	
“The Vedântâ-Sûtras Part II” (SBE 38), with commentary by Sankarâkârya, translated by George Thibaut; (Sacred Books of the East, Vol. 38) [1896]	---	
“The Crest-Jewel of Wisdom and other writings of Śankarâchârya”; translation and commentaries by Charles Johnston [1946]	---	
“Brahma-Knowledge”, by L.D. Barnett [1911]	---	
“Select Works of Sri Sankaracharya”, tr. by S. Venkataramanan [1921]	---	
Later Texts	<group>	
“The Yoga Sutras of Patanjali”, by Charles Johnston [1912]	---	
“The Hatha Yoga Pradipika”, translated by Pancham Sinh [1914]	---	
“Dakshinamurti Stotra”, translated by Alladi Mahadeva Sastri [1920]	---	
“The Sánkhya Aphorisms of Kapila”, translated by James R. Ballantyne [1885]	---	
“Kalidasa: Translations of Shakuntala and Other Works”, by Kalidasa, (fifth century C.E.), tr. by Arthur W. Ryder [1914]	---	
“The Little Clay Cart”, by Shudraka tr. by Arthur W. Ryder [1905]	---	
“Verses of Vemana”, by Vemana (17th century), tr. from the Telugu by C.P. Brown [1829]	---	
“Black Marigolds”, (Caurapañcāśikā) by Bilhana, tr. by Edward Powys Mathers [1919]	---	
“Vikram and the Vampire”, tr. by Sir Richard Burton. [1870]	---	
“Hymns of the Tamil Saivite Saints”, tr. by F. Kingsbury and G.P. Phillips [1829]	---	
“Songs of Kabîr”, Kabir, tr. by Rabindranath Tagore, Introduction by Evelyn Underhill; New York, The Macmillan Company; [1915]	---	
“Yoga Vashisht or Heaven Found”, by Rishi Singh Gherwal [1930]	---	
Modern Books	<group>	
“Relax with Yoga”, by Arthur Liebers [1960]	---	
“Great Systems of Yoga”, by Ernest Wood [1954]	---	
“Old Deccan Days”, by Mary Frere [1868]	---	
“Ramakrishna, His Life and Sayings”, by F. Max Müller [1898]	---	
“The Gospel of Ramakrishna”, by Mahendra Nath Gupta, ed. by Swami Abhedananda [1907]	---	
“Hindu Mythology”, Vedic and Puranic, by W.J. Wilkins [1900]	---	
“How To Be A Yogi”, by Swâmi Abhedânanda [1902]	---	
“Twenty-two Goblins”, by Arthur W. Ryder [1912]	---	
“Indian Fairy Tales”, by Joseph Jacobs [1912]	---	
“Indian Myth and Legend”, by Donald A. Mackenzie [1913]	---	
“Karma-Yoga”, by Swami Vivekananda [1921]	---	
“Hindu Mysticism”, by S.N. Dasgupta [1927]	---	
“Kali the Mother”, by Sister Nivedita (Margaret E. Noble) [1900]	---	
“The Web of Indian Life”, by Sister Nivedita (Margaret E. Noble) [1904]	---	
“Studies from an Eastern Home”, by Sister Nivedita (Margaret E. Noble) [1913]	---	
“Gitanjali”, Rabindranath Tagore [1913]	---	
“Saddhana, The Realisation of Life”, Rabindranath Tagore [1915]	---	
“The Crescent Moon”, Rabindranath Tagore [1916]	---	
“Fruit-Gathering”, Rabindranath Tagore [1916]	---	
“Stray Birds”, Rabindranath Tagore [1916]	---	
“The Home and the World”, Rabindranath Tagore [1915]	---	
“Thought Relics”, Rabindranath Tagore [1921]	---	
“Songs of Kabîr”, Rabindranath Tagore [1915]	---	
Religious books of Taoism	https://archive.sacred-texts.com/tao/index.htm, https://archive.sacred-texts.com/ich/index.htm	/en/index/books_taoism
“The I Ching”, James Legge, tr., Sacred Books of the East, vol. 16 [1899]	---	
“Tao-Te Ching”, traducido by James Legge [1891]	---	
“Taoists Texts, Part I” (SBE 39), Lao Tzu, Chuang Tzu, tr. by Jame Legge [1891]	---	
“Taoists Texts, Part II” (SBE40), Chuang Tzu, tr. by Jame Legge [1891]	---	
“The Tao Teh King: A Short Study in Comparative Religion”, Translated with commentary by C. Spurgeon Medhurst [1905]	---	
“The Canon of Reason and Virtue (Lao-tze's Tao Teh King) Chinese and English”; Translated by D.T. Suzuki and Paul Carus [1913]	---	
“Taoist Teachings Translated from the Book of Lieh-Tzü” by Lionel Giles [1912].	---	
“Yang Chu's Garden of Pleasure”, translated by Anton Forke [1912]	---	
“T'ai Shang Kan-Ying P'ien”, by Teitaro Suzuki and Paul Carus [1906]	---	
“Yin Chih Wen, The Tract of the Quiet Way”, by Teitaro Suzuki and Paul Carus. [1906].	---	
“Taoist Texts”, by Frederic Henry Balfour [1884].	---	
“Tao, The Great Luminant Essays from the Huai Nan Tzu”, by Evan S. Morgan [1933]	---	
“Laotzu's Tao and Wu Wei”, by Dwight Goddard and Henri Borel [1919]	---	
“Laotzu's Tao and Wu Wei” (2nd ed.), by Dwight Goddard and Henri Borel [1939]	---	
“The Sayings of Lao Tzu”, tr. by Lionel Giles [1905]	---	
“The Art of War, Sun Tzu”, tr. by Lionel Giles [1910]	---	
“Musings of a Chinese Mystic, Chuang Tzu”, tr. by Lionel Giles [1909]	---	
“Kung-Fu, or Tauist Medical Gymnastics”, by John Dudgeon [1895]	---	
“Sacred Places in China”, by Carl F. Kupfer [1911]	---	
Shinto religious books	https://archive.sacred-texts.com/shi/index.htm	/es/index/books_shintoism
Shinto Scripture	<group>	
“The Kojiki”, Basil Hall Chamberlain, tr. [1919]	---	
“The Nihongi” (excerpts), translated by W.G. Ashton [1896], 4 Parts	---	
“The Yengishiki or Shinto Rituals”	---	
“Kogoshui: Gleanings from Ancient Stories”, translated by Genchi Katō and Hikoshirō Hoshino [1926].	---	
Japanese Culture, Spirituality and Folklore	<group>	
“The Shundai Zatsuwa (A Japanese Philosopher)”, By Kyuso (Muro Naokiyo), translated by George William Knox [1892]	---	
“Gleanings In Buddha-Fields”, by Lafcadio Hearn [1897].	---	
“In Ghostly Japan”, by Lafcadio Hearn [1899].	---	
“Kwaidan”, by Lafcadio Hearn [1904].	---	
“Japan, An Attempt At Interpretation”, by Lafcadio Hearn [1904]	---	
“The Ideals of the East”, by Kakuzo Okakura [1904]	---	
“The Book of Tea”, by Kakuzo Okakura [1906]	---	
“Genji Monogatari”, by Lady Murasaki Shikibu tr. by Suematsu Kencho [1900]	---	
“Bushido, The Soul of Japan”, by Inazo Nitobe [1905].	---	
“A Hundred Verses from Old Japan (the Hyakunin-isshu)”, translated by William N. Porter [1909]	---	
“Shinran and His Work: Studies in Shinshu Theology”, by Arthur Lloyd [1910]	---	
“The Creed of Half Japan”, by Arthur Lloyd [1911]	---	
“Buddhist Psalms”, by S. Yamabe and L. Adams Beck [1921]	---	
“Japanese Fairy Tales”, Second Series. By Teresa Peirce Williston, Illustrated by Sanchi Ogawa [1911]	---	
“Principal Teachings of the True Sect of Pure Land”, by Yejitsu Okusa [1915]	---	
“Ancient Tales and Folk-lore of Japan”, by Richard Gordon Smith [1918]	---	
“The Nō Plays of Japan”, by Arthur Waley [1921].	---	
“The Story of Gio” from the Heike Monogatari, retold by Ridgely Torrence [1935]	---	
“Japanese Haiku”, translated by Peter Beilenson [1955]	---	
“Ainu Texts”	---	
Religious books of Bahaism	https://archive.sacred-texts.com/bhi/index.htm	/en/index/books_bahaism
“The Kitab-i-Aqdas”	---	
“The Kitab-i-Iqan” (Book of Certitude)	---	
“Epistle to the Son of the Wolf”	---	
“The Splendour of God”, by Eric Hammond [1909]	---	
Bab	<group>	
“Selections from the Writings of the Bab”	---	
Baha'u'llah	<group>	
“The Kitab-i-Aqdas” (The Most Holy Book)	---	
“Epistle to the Son of the Wolf”	---	
“Gleanings from the Writings of Baha'u'llah”	---	
“The Hidden Words of Baha'u'llah”	---	
“The Kitab-i-Iqan” (The Book of Certitude)	---	
“Prayers and Meditations”	---	
“Proclamation of Baha'u'llah”	---	
“The Seven Valleys and the Four Valleys”	---	
“Tablets of Baha'u'llah Revealed after the Kitab-i-Aqdas”	---	
'Abdu'l-Baha	<group>	
“Abdu'l-Baha in London”	---	
“Foundations of World Unity”	---	
“Memorials of the Faithful”	---	
“Paris Talks”	---	
“The Promulgation of Universal Peace”	---	
“The Secret of Divine Civilization”	---	
“Selections from the Writings of `Abdu'l-Baha”	---	
“Some Answered Questions”	---	
“Tablets of 'Abdu'l-Baha”	---	
“Tablet to August Forel”	---	
“Tablets of the Divine Plan”	---	
“A Travellers Narrative”	---	
“The Will and Testament of 'Abdu'l-Baha”	---	
Shoghi Effendi	<group>	
“The Advent of Divine Justice”	---	
“Arohanui: Letters to New Zealand”	---	
“Baha'i Administration”	---	
“Citadel of Faith”	---	
“The Dawn of a New Day”	---	
“Directives from the Guardian”	---	
“God Passes By”	---	
“High Endeavours: Messages to Alaska”	---	
“Letters from the Guardian to Australia and New Zealand”	---	
“The Light of Divine Guidance (volume 1)”	---	
“The Light of Divine Guidance (volume 2)”	---	
“Messages to America”	---	
“The Promised Day is Come”	---	
“Unfolding Destiny”	---	
“The World Order of Baha'u'llah”	---	
Others	<group>	
“Baha'u'llah and the New Era by Esslemont”	---	
“The Dawn Breakers by Nabil”	---	
“Footnotes to French ed. of The Dawn Breakers”	---	
“The Prosperity of Humankind”	---	
“Statement on Baha'u'llah”	---	
Universal House of Justice	<group>	
“The Promise of World Peace”	---	
Compilations	<group>	
“Baha'i Prayers”	---	
“Baha'i World Faith”	---	
“Baha'i Education”	---	
“Japan Will Turn Ablaze”	---	
“Peace”	---	
“Scholarship”	---	
“Women”	---	
Religious books of Zoroastrianism	https://archive.sacred-texts.com/zor/index.htm	/es/index/books_zoroastrianism
“The Zend Avesta, (3 parts)”: Vendîdâd (SBE 4), The Sîrôzahs, Yasts and Nyâyis (SBE 23),  The Yasna, Visparad, Âfrînagân, Gâhs and Miscellaneous Fragments(SBE 31), translated by James Darmesteter and L.H. Mills [1880-1887]	---	
“Pahlavi Texts, (5 parts)”, E.W. West [1880-1905]	---	
“The Teachings of Zoroaster”, by S.A. Kapadia [1905]	---	
“The Yatkar-i-Zariran or Memoirs of Zarir”	---	
Jain religious books	https://archive.sacred-texts.com/jai/index.htm	/es/index/books_jainism
“Jaina Sutras, Part I”, (Sacred Books of the East vol. 22), Translated from the Prakrit by Hermann Jacobi, 1884	---	
“Jaina Sutras, Part II”, (Sacred Books of the East vol. 45), Translated from the Prakrit by Hermann Jacobi, 1884	---	
“A Treatise on Jainism”	---	
“Ten Virtues Of Monks”	---	
“Twelve Reflections or Bhavnas”	---	
“Twelve Vows Of Layperson”	---	
“Fourteen Auspicious Dreams”	---	
“Five Bodies and Eight Vargnas”	---	
“Five Great Vows (Maha-vratas)”	---	
“Six Universal Substances (Dravyas)”	---	
“Meaning Of Ashta Prakari Puja”	---	
“Nine Tattvas (Principles)”	---	
Religious books of Sikhism	https://archive.sacred-texts.com/skh/index.htm	/en/index/books_shikhism
“The Sikh Religion, Volume 1”, by Max Arthur MacAuliffe [1909]	---	
“The Religion of the Sikhs”, by Dorothy Field [1914]	---	
“Shri Guru Granth Sahib”, The sacred text of the Sikhs	---	
