WKT,Nombre,Descripción,Reino,Tópico,Wikipedia,Excavación
"POINT (35.280827 32.752213 0.0)","Séforis","Importante centro comercial reconstruido por Herodes Antipas y convertido en la capital de Galilea. Allí trabajó Jesús como herrero. José murió trabajando en el palacio de Herodes. Jesús les dijo a los apóstoles que la evitaran.","Galilea","https://urantiapedia.org/es/topic/Sepphoris","https://es.wikipedia.org/wiki/S%C3%A9foris",
"POINT (35.775681 31.754808 0.0)","Sibma","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Sibmah",,
"POINT (35.281834 32.204861 0.0)","Sicar","Jesús predicó aquí durante dos días.Tras su resurrección su décimo séptima aparición tuvo lugar en Sicar.","Samaria","https://urantiapedia.org/es/topic/Sychar",,
"POINT (35.284637 32.208542 0.0)","Sicar - Pozo de Jacob","Aquí Jesús se encontró con Nalda la samaritana","Samaria",,"https://es.wikipedia.org/wiki/Pozo_de_Jacob",
"POINT (35.272057 32.200794 0.0)","Sicar - Monte Gerizim","Sobre él existían unas ruinas del templo samaritano más importante.","Samaria","https://urantiapedia.org/es/topic/Mount_Gerizim","https://es.wikipedia.org/wiki/Monte_Guerizín",
"POINT (35.370399 33.564827 0.0)","Sidón","Durante su estancia con los discípulos en Fenicia, fue en esta ciudad donde Jesús tuvo el encuentro con Norana, la mujer que buscaba insistentemente curación para su hija.","Fenicia","https://urantiapedia.org/es/topic/Sidon","https://en.wikipedia.org/wiki/Sidon",
"POINT (35.289158 32.055027 0.0)","Silo",,"Judea","https://urantiapedia.org/es/topic/Shiloh","https://en.wikipedia.org/wiki/Shiloh",
"POINT (35.264526 32.220879 0.0)","Siquén nueva o Neapolis",,"Samaria","https://urantiapedia.org/es/topic/Shechem","https://es.wikipedia.org/wiki/Nablus",
"POINT (35.281567 32.210285 0.0)","Siquén antigua",,"Samaria","https://urantiapedia.org/es/topic/Shechem","https://en.wikipedia.org/wiki/Shechem",
"POINT (35.684387 31.824717 0.0)","Sitim","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Shittim",,
"POINT (35.622738 32.187847 0.0)","Sucot","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Succoth",,
"POINT (35.328953 32.595867 0.0)","Sunem","Jesús predicó en este lugar.","Galilea","https://urantiapedia.org/es/topic/Shunem",,
"POINT (35.21973 32.520443 0.0)","Taanac",,"Galilea","https://urantiapedia.org/es/topic/Taanach",,
"POINT (35.113117 32.002388 0.0)","Tamna","Jesús pasó por aquí.","Judea","https://urantiapedia.org/es/topic/Thamna",,
"POINT (35.040585 31.702856 0.0)","Tamna",,"Judea","https://urantiapedia.org/es/topic/Thamna",,
"POINT (35.568901 32.725307 0.0)","Tariquea","Según El Libro de Urantia, Tomás era de aquí, y Jesús visitó esta población en varias ocasiones. Los investigadores suelen identificar Tariquea con Magdala, situándola en la costa del lago más al norte, pero El Libro de Urantia se decanta claramente por esta ubicación. En la zona, llamada hoy Khibert Kerak o Beth Yerah, se han encontrado restos que confirman la existencia de una población. Incluso la cerámica encontrada ha dado nombre a un período cerámico.","Galilea","https://urantiapedia.org/es/topic/Tarichea","https://en.wikipedia.org/wiki/Khirbet_Kerak",
"POINT (35.542 32.7868 0.0)","Tiberíades o Tiberias","Tiberíades o Tiberias. Ciudad fundada por Herodes Antipas. Jesús estuvo aquí en varias ocasiones.","Galilea","https://urantiapedia.org/es/topic/Tiberias","https://es.wikipedia.org/wiki/Tiber%C3%ADades",
"POINT (35.195747 33.269264 0.0)","Tiro","Esta es una de las poblaciones en las que se detuvo Jesús en su viaje de huida al norte, a Fenicia. Esta ciudad y Sidón dejaron un grato recuerdo en Jesús. Se formó una amplia comunidad de creyentes en él, y recibió el honor de una de las apariciones de Jesús después de muerto.","Fenicia","https://urantiapedia.org/es/topic/Tyre","https://es.wikipedia.org/wiki/Tiro",
"POINT (35.804016 31.853559 0.0)","Tiro","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Tyrus",,
"POINT (35.067947 32.920883 0.0)","Tolemaida","Antigua ciudad filistea de Akk o Akko o Acre. Jesús la visitó en varias ocasiones, tanto en su juventud como en los viajes con los apóstoles.","Fenicia","https://urantiapedia.org/es/topic/Ptolemais","https://es.wikipedia.org/wiki/Acre_(Israel)",
"POINT (35.579159 32.264641 0.0)","Zafón","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Zaphon",,
"POINT (35.430687 33.046684 0.0)","Zabulón",,"Galilea","https://urantiapedia.org/es/topic/Zebulun",,
