Reference	Original	Corrected	Review	Decision
162:7.2 (1796.4)	who commits sin is the bond-servant of sin	who commits sin is the bond servant of sin	who commits sin is the <mark><s>bondservant</s> bond servant</mark> of sin	The only form found in Webster’s is the open form.
162:7.2 (1796.4)	the bondservant is not likely	the bond servant is not likely	the <mark><s>bondservant</s> bond servant</mark> is not likely	The only form found in Webster’s is the open form.
165:0.3 (1817.3)	during the times of Judas Maccabeus	during the times of Judas Maccabee	during the times of Judas <mark><s>Maccabeus</s> Maccabee</mark>	Although Maccabeus is a more accurate transliteration of the Greek, Maccabee is common in English works and is used in all other occurrences in <em>The Urantia Book</em>.
165:4.8 (1822.3)	set upon their own selfish gain’.”	set upon their own selfish gain.’” 	set upon their own selfish gain<mark>.’” <s>’.”</s></mark>	Quotation marks—single or double—should always enclose a comma or period.
166:3.4 (1829.1)	Lord open to us	Lord, open to us	Lord<mark>,</mark> open to us	In the original format, Lord was the last word in the line, making a dropped comma likely.
167:2.2 (1835.2)	I must needs to go prove it	I must needs go to prove it	I must needs <mark><s>to go</s> go to</mark> prove it	The original to go is a transposition resulting in a grammatically incorrect formulation.
167:4.3 (1837.2)	on the second, or even the third day,	on the second or even the third day,	on the second<mark><s>,</s></mark> or even the third day,	The form with only a comma following day is the most readable punctuation.
167:5.3 (1838.4)	he had become enamoured	he had become enamored	he had become <mark><s>enamoured</s> enamored</mark>	This word is also found at 121:5.6; there, the American spelling is used. The American form was adopted.
168:5.1 (1849.5)	until the day of the crucifixion	until the days of the crucifixion	until the day<mark>s</mark> of the crucifixion	The correction from day to days here is required because the former is inconsistent with the ensuing narrative.
169:3.2 (1854.6)	a certain beggar named Lazarus, who laid at	a certain beggar named Lazarus, who was laid at	a certain beggar named Lazarus, who <mark>was</mark> laid at	The authors of Part IV generally follow the text of the American Standard Version of 1901.
172:3.4 (1881.2)	so-called Messianic prophesies	so-called Messianic prophecies	so-called Messianic <mark><s>prophesies</s> prophecies</mark>	Prophesy is the spelling used for the verb, whereas prophecy is the correct spelling for the noun
172:3.6 (1881.4)	If any one asks you	If anyone asks you	If <mark><s>any one</s> anyone</mark> asks you	Anyone is correct if anybody could be substituted.
172:5.2 (1884.1)	his associates whom he feared might be led away	his associates who he feared might be led away	his associates <mark><s>whom</s> who</mark> he feared might be led away	The pronoun is the subject of the verb phrase might be led away, not the object of feared; therefore who is the correct form.
172:5.2 (1884.1)	some of the twelve whom he knew were armed	some of the twelve who he knew were armed	some of the twelve <mark><s>whom</s> who</mark> he knew were armed	The pronoun is the subject of the verb were armed, not the object of knew nor of were armed; therefore who is the correct form.
173:1.3 (1889.1)	the size of a ten cent piece	the size of a ten-cent piece	the size of a ten<mark>-</mark>cent piece	The hyphenated word ten-cent is the standard form and is specified by Chicago Manual of Style.
176:3.4 (1916.4)	except he who received	except him who received	except <mark><s>he</s> him</mark> who received	The pronoun is the object of the preposition except; therefore him is correct.
177:3.7 (1924.3)	willing to forego the great advantage	willing to forgo the great advantage	willing to <mark><s>forego</s> forgo</mark> the great advantage	The corrected spelling of forgo is etymologically preferable.
177:4.1 (1924.5)	shortly after 10 o’clock	shortly after ten o’clock	shortly after <mark><s>10</s> ten</mark> o’clock	The spelled-out form for time is clearly supported in Chicago Manual of Style.
177:5.2 (1927.3)	still others whom you think love the truth	still others who you think love the truth	still others <mark><s>whom</s> who</mark> you think love the truth	The pronoun is the subject of love, not the object of think; therefore who is the correct form.
179:5.9 (1943.2)	he said to the twelve	he said to the eleven	he said to the <mark><s>twelve</s> eleven</mark>	There were only eleven apostles with Jesus at this point in the narrative.
179:5.9 (1943.2)	you shall all some time sup with me	you shall all sometime sup with me	you shall all <mark><s>some time</s> sometime</mark> sup with me	The closed form is correct as the reference is to an indefinite point in time.
180:3.1 (1946.6)	even when faint-hearted believers turn	even when fainthearted believers turn	even when <mark><s>faint-hearted</s> fainthearted</mark> believers turn	This adverbial variant is particularly strange in hyphenated form, so the closed form was decided upon.
180:3.4 (1947.3)	to which you shall some time ascend	to which you shall sometime ascend	to which you shall <mark><s>some time</s> sometime</mark> ascend	The closed form is correct as the reference is to an indefinite point in time.
184:3.1 (1982.2)	informal charges of law-breaking	informal charges of lawbreaking	informal charges of <mark><s>law-breaking</s> lawbreaking</mark>	Of the five occurrences of lawbreaker and lawbreaking in the text, three are closed and two are hyphenated. There is no differential in meaning, so text standardization in the closed form was decided upon.
184:3.15 (1983.7)	with this law-breaker	with this lawbreaker	with this <mark><s>law-breaker</s> lawbreaker</mark>	Of the five occurrences of lawbreaker and lawbreaking in the text, three are closed and two are hyphenated. There is no differential in meaning, so text standardization in the closed form was decided upon.
186:3.2 (2000.5)	Sidon, Schechem, Hebron	Sidon, Shechem, Hebron	Sidon, <mark><s>Schecham</s> Shechem</mark>, Hebron	Shechem is the standard transliteration of the name.
186:5.5 (2002.6)	between man and his Maker on this world	between man and his Maker, on this world	between man and his Maker<mark>,</mark> on this world	The addition of the comma after Maker properly sets off the parenthetical phrase that follows.
187:5.1 (2010.2)	sandstorms from the Arabian desert	sandstorms from the Arabian Desert	sandstorms from the Arabian <mark><s>desert</s> Desert</mark>	The formatting of geographic names is covered by Chicago Manual of Style; the correct form is Arabian Desert.
188:4.3 (2016.8)	the evildoing of his ancestors	the evil-doing of his ancestors	the <mark><s>evildoing</s> evil-doing</mark> of his ancestors	There has been a clear preference for the hyphenated form since the seventeenth century.
188:4.5 (2016.10)	the tendency toward evildoing	the tendency toward evil-doing	the tendency toward <mark><s>evildoing</s> evil-doing</mark>	There has been a clear preference for the hyphenated form since the seventeenth century.
190:3.3 (2033.3)	suggested that any one claiming to have seen him	suggested that anyone claiming to have seen him	suggested that <mark><s>any one</s> anyone</mark> claiming to have seen him	Anyone is correct if anybody could be substituted.
191:5.3 (2043.1)	the far-away ascetics teach reverence	the faraway ascetics teach reverence	the <mark><s>far-away</s> faraway</mark> ascetics teach reverence	Except for this single instance, <em>The Urantia Book</em> uses the closed form.
194:4.6 (2067.1)	all their new concept of God	all their new concepts of God	all their new <mark><s>concept</s> concepts</mark> of God	The inclusion of all here requires the plural concepts.
195:3.10 (2074.5)	Poutaenus taught Clement and then went on	Pantaenus taught Clement and then went on	<mark><s>Poutaenus</s> Pantaenus</mark> taught Clement and then went on	Pantaenus is the correct spelling.
196:3.35 (2097.3)	the spirit of the Father is in his Son’s sons	the spirit of the Father is in his Sons’ sons	the spirit of the Father is in his <mark><s>Son’s</s> Sons’</mark> sons	Sons’ is correct in light of the prior sentence which provides the context: this life of the Father is in his Sons.
