Index of Urantia Foundation's News Online articles	https://www.urantia.org/urantia-foundation/newsletter-pdf-archives	is-title	Urantia Foundation News Online
The Siegels Visit Sweden, Estonia, Russia, and Finland in June, 2011	/en/article/Mo_Siegel/The_Siegels_Visit_Sweden_Estonia_Russia_and_Finland_in_June_2011	Mo Siegel	Urantia Foundation
Centering Prayer Retreat in Brittany, France	/en/article/Claire_Mylanus/Centering_Prayer_Retreat_in_Brittany_France	Claire Mylanus	Urantia Foundation
A New Associate Trustee Is Appointed	/en/article/Jay_Bird/A_New_Associate_Trustee_Is_Appointed	Jay Bird	Urantia Foundation
Comments from Readers	/en/article/UF_News_Online/Comments_from_Readers_2011_12	---	Urantia Foundation
Volume 6, 2012	---	is-volume	---
Volume 6, Issue 1, March 2012	/image/article/UF_News_Online/covers/2012_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2012_03	---	Urantia Foundation
Our Journey to South America	/en/article/Mo_Siegel/Our_Journey_to_South_America	Mo Siegel	Dissemination, Latin America, Urantia Foundation
Noteworthy Decisions from the January 2012 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_January_2012_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
Teacher-Facilifators Needed for the Urantia Book Internet School	/en/article/Betty_Zehr/Teacher_Facilifators_Needed_for_the_Urantia_Book_Internet_School	Betty Zehr	UBIS, Urantia Foundation
The Urantia Book around the world	/en/article/Irmeli_Sjolie/The_Urantia_Book_around_the_world	Irmeli Sjölie	Dissemination, Urantia Foundation
Comments from Readers of The Urantia Book	/en/article/UF_News_Online/Comments_from_Readers_2012_03	---	Urantia Foundation
Volume 6, Issue 2, June 2012	/image/article/UF_News_Online/covers/2012_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2012_06	---	Urantia Foundation
Worship and Wisdom at 533 W Diversey Parkway	/en/article/Gard_Jameson/Worship_and_Wisdom_at_533_W_Diversey_Parkway	Gard Jameson	Urantia Foundation
Noteworthy Decisions from the April 2012 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_April_2012_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
The Hebrew Translation of The Urantia Book	/en/article/Georges_Michelson_Dupont/The_Hebrew_Translation_of_The_Urantia_Book	Georges Michelson-Dupont	The Urantia Book—Hebrew, Urantia Foundation
Reflections on the 11th meeting of Urantia Book readers in Spain	/en/article/Olga_Lopez/Reflections_on_the_11th_meeting_of_Urantia_Book_readers_in_Spain	Olga López	Urantia Movement Event, Urantia Foundation
A Meredith Sprunger Story	/en/article/Saskia_Praamsma_Raevouri/A_Meredith_Sprunger_Story	Saskia Praamsma Raevouri	Urantia Foundation
How I found The Urantia Book	/en/article/Meredith_Sprunger/How_I_found_The_Urantia_Book	Meredith Sprunger	Urantia Foundation
Help Wanted for Translations	/en/article/UF_News_Online/Help_Wanted_for_Translations	---	Urantia Foundation
My trip to Colombia, South America	/en/article/Jay_Peregrine/My_trip_to_Colombia_South_America	Jay Peregrine	Dissemination, Latin America, Urantia Foundation
Urantia Book Study Group Directory	/en/article/Scott_Brooks/Urantia_Book_Study_Group_Directory	Scott Brooks	Study Groups, Urantia Foundation
Two New Appointments	/en/article/UF_News_Online/Two_New_Appointments	---	Urantia Foundation
Reader Comments	/en/article/UF_News_Online/Reader_Comments_2012_06	---	Urantia Foundation
Irmeli Ivalo-Sjölie: Book Ambassador at Large	/en/article/UF_News_Online/Irmeli_Ivalo_Sjolie_Book_Ambassador_at_Large	---	Dissemination, Urantia Foundation
Volume 6, Issue 3, Aug. 2012	/image/article/UF_News_Online/covers/2012_08.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2012_08	---	Urantia Foundation
Pulling Together for the Common Good	/en/article/Mo_Siegel/Pulling_Together_for_the_Common_Good	Mo Siegel	Urantia Foundation
Noteworthy Decisions from the July 2012 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_July_2012_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
The Urantia Book and its teachings in Babasa Indonesia	/en/article/Henk_Mylanus/The_Urantia_Book_and_its_teachings_in_Babasa_Indonesia	Henk Mylanus	Urantia Foundation
Spanish UBIS—One More Step in the Expansion of the Urantia Book Internet School	/en/article/Olga_Lopez/Spanish_UBIS_One_More_Step_in_the_Expansion_of_UBIS	Olga López	UBIS, Urantia Foundation
The Evolution of Translations	/en/article/Georges_Michelson_Dupont/The_Evolution_of_Translations	Georges Michelson-Dupont	The Urantia Book, Urantia Foundation
A Timeline for The Urantia Book	/en/article/UF_News_Online/A_Timeline_for_The_Urantia_Book	---	The Urantia Book, Urantia Foundation
Five Days at 533 W Diversey Parkway	/en/article/Angela_Thurston/Five_Days_at_533_W_Diversey_Parkway	Angela Thurston	Urantia Movement Event, Urantia Foundation
A Summer Urantia Book Conference in Berlin	/en/article/Michael_MacIsaac/A_Summer_Urantia_Book_Conference_in_Berlin	Michael MacIsaac	Urantia Movement Event, Urantia Foundation
Remembering Mary Lou Hales	/en/article/Carolyn_Kendall/Remembering_Mary_Lou_Hales	Carolyn Kendall	Urantia Foundation
Remembering Werner Sutter	/en/article/Irmeli_Sjolie/Remembering_Werner_Sutter	Irmeli Sjölie	Urantia Foundation
Volunteers Needed	/en/article/UF_News_Online/Volunteers_Needed	---	Urantia Foundation
Comments from readers	/en/article/UF_News_Online/Comments_from_readers_2012_08	---	Urantia Foundation
Volume 6, Issue 4, Nov. 2012	/image/article/UF_News_Online/covers/2012_11.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2012_11	---	Urantia Foundation
Joint Meeting of The Urantia Book Fellowship and Urantia Foundation	/en/article/Lila_Dogim_and_Mo_Siegel/Joint_Meeting_of_The_Urantia_Book_Fellowship_and_Urantia_Foundation	Lila Dogim and Mo Siegel	Fellowship, Urantia Foundation
Winter Fundraising Match of $160,000 Launches Now	/en/article/UF_News_Online/Winter_Fundraising_Match_of_160000_Launches_Now	---	Urantia Foundation
An Audio Version of The Urantia Book in Portuguese	/en/article/Eliana_Valeria_Ferrin/An_Audio_Version_of_The_Urantia_Book_in_Portuguese	Eliana Valéria Ferrin	The Urantia Book—Portuguese, Urantia Foundation
Engineering the Audio O Livro de Urântia	/en/article/Dan_Macias/Engineering_the_Audio_O_Livro_de_Urantia	Dan Macias	The Urantia Book—Portuguese, Urantia Foundation
Noteworthy Decisions from the October 2012 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_October_2012_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
A Community Introduction to The Urantia Book	/en/article/Will_Sherwood/A_Community_Introduction_to_The_Urantia_Book	Will Sherwood	Urantia Foundation
A Seminar on the Truths of Spiritual Experience	/en/article/Jeff_Wattles/A_Seminar_on_the_Truths_of_Spiritual_Experience	Jeff Wattles	Urantia Foundation
The Number of Urantia Books Printed between 1955 and 2012	/en/article/UF_News_Online/The_Number_of_Urantia_Books_Printed_between_1955_and_2012	---	The Urantia Book, Urantia Foundation
The Third Urantia Book Information Technology (IT) Roundtable	/en/article/Barry_Clark_and_Mo_Siegel/The_Third_Urantia_Book_Information_Technology_IT_Roundtable	Barry Clark and Mo Siegel	Urantia Foundation
Impressions of the Information Technology Roundtable	/en/article/MaryJo_Garascia/Impressions_of_the_Information_Technology_Roundtable	MaryJo Garascia	Urantia Foundation
Reader Comments	/en/article/UF_News_Online/Reader_Comments_2012_11	---	Urantia Foundation
Urantia Book Holiday Sale	/en/article/UF_News_Online/Urantia_Book_Holiday_Sale	---	Urantia Foundation
Volume 7, 2013	---	is-volume	---
Volume 7, Issue 1, March 2013	/image/article/UF_News_Online/covers/2013_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2013_03	---	Urantia Foundation
Urantia Foundation Announces New Book Covers For The Urantia Book	/en/article/UF_News_Online/New_Book_Covers_for_The_Urantia_Book	---	Urantia Foundation
Noteworthy Decisions from the January 2013 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_January_2013_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
The 2012 Survey of Readers of The Urantia Book	/en/article/Tamara_Strumfeld/The_2012_Survey_of_Readers_of_The_Urantia_Book	Tamara Strumfeld	Urantia Foundation
Finding a Distributor in Hungary for the Hungarian translation, Az Urantia könyv	/en/article/Henk_Mylanus/Finding_a_Distributor_in_Hungary_for_the_Hungarian_translation_Az_Urantia_konyv	Henk Mylanus	The Urantia Book—Hungarian, Urantia Foundation
Around the World with Urantia Book. Ambassador Irmeli Ivalo-Sjölie	/en/article/Irmeli_Sjolie/Around_the_World_with_Urantia_Book_Ambassador_Irmeli_Ivalo_Sjolie	Irmeli Sjölie	Dissemination, Urantia Foundation
How the Idea for a Urantia Book Translation Tool was Born	/en/article/Rogerio_da_Silva/How_the_Idea_for_a_Urantia_Book_Translation_Tool_was_Born	Rogério da Silva	Urantia Foundation
A Group Meditation at Urantia Foundation	/en/article/Share_Beasley/A_Group_Meditation_at_Urantia_Foundation	Share Beasley	Urantia Foundation
Half Price Books-an Opportunity for Urantia Book Dissemination	/en/article/Rod_Holland/Half_Price_Books_an_Opportunity_for_Urantia_Book_Dissemination	Rod Holland	Dissemination, Urantia Foundation
A Thank You Note from Chile	/en/article/Flor_Robles/A_Thank_You_Note_from_Chile	Flor Robles	Latin America, Urantia Foundation
A Reader's Comment	/en/article/UF_News_Online/A_Readers_Comment_2013_03	---	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2013_03	---	Urantia Foundation
Volume 7, Issue 2, June 2013	/image/article/UF_News_Online/covers/2013_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2013_06	---	Urantia Foundation
New Planned Giving Website at Urantia.org	/en/article/Jay_Peregrine/New_Planned_Giving_Website_at_Urantiaorg	Jay Peregrine	Urantia Foundation
Notewortby Decisions from the April 2013 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Notewortby_Decisions_from_the_April_2013_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
A Decimal Seminar	/en/article/Jeff_Wattles/A_Decimal_Seminar	Jeff Wattles	Urantia Foundation
The Urantia Book in Spain	/en/article/Olga_Lopez/The_Urantia_Book_in_Spain	Olga López	Urantia Foundation
Translating The Urantia Book Into Farsi: The Inspiring Story Of How This Project Began	/en/article/UF_News_Online/Translating_The_Urantia_Book_into_Farsi	---	The Urantia Book—Farsi, Urantia Foundation
Inspire and Be Inspired	/en/article/Line_St_Pierre/Inspire_and_Be_Inspired	Line St-Pierre	Urantia Foundation
The Third Meeting of the Blue Club in Frankfurt, Germany	/en/article/Christian_Ruch/The_Third_Meeting_of_the_Blue_Club_in_Frankfurt_Germany	Christian Ruch	Urantia Movement Event, Urantia Foundation
A New Platform for The Urantia Book Internet School	/en/article/Michael_Zehr/A_New_Platform_for_The_Urantia_Book_Internet_School	Michael Zehr	UBIS, Urantia Foundation
A Reader's Comment	/en/article/UF_News_Online/A_Readers_Comment_2013_06	---	Urantia Foundation
Volume 7, Issue 3, Sept. 2013	/image/article/UF_News_Online/covers/2013_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2013_09	---	Urantia Foundation
Smart Religion	/en/article/Mo_Siegel/Smart_Religion	Mo Siegel	Urantia Foundation
Noteworthy Decisions from the July 2013 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_July_2013_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
What the Women are Planning	/en/article/Line_St_Pierre/What_the_Women_are_Planning	Line St-Pierre	Urantia Foundation
The Urantia Book Study Group Directory	/en/article/Gard_Jameson/The_Urantia_Book_Study_Group_Directory	Gard Jameson	Study Groups, Urantia Foundation
One Student's Perspective on UBIS	/en/article/Kathy_Hatter/One_Students_Perspective_on_UBIS	Kathy Hatter	UBIS, Urantia Foundation
A Tale of Two Conferences	/en/article/Mike_Wood/A_Tale_of_Two_Conferences	Mike Wood	Urantia Movement Event, Urantia Foundation
Urantia Book. Ambassador Irmeli Ivalo-Sjölie visits Finland, and the USA	/en/article/Irmeli_Sjolie/Urantia_Book_Ambassador_Irmeli_Ivalo_Sjolie_visits_Finland_and_the_USA	Irmeli Sjölie	Dissemination, Urantia Foundation
The Urantia Book in Korea	/en/article/Jay_Peregrine/The_Urantia_Book_in_Korea	Jay Peregrine	Urantia Foundation
A Reader's Comment	/en/article/UF_News_Online/A_Readers_Comment_2013_09	---	Urantia Foundation
Help Wanted	/en/article/UF_News_Online/Help_Wanted	---	Urantia Foundation
Volume 7, Issue 4, Dec. 2013	/image/article/UF_News_Online/covers/2013_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2013_12	---	Urantia Foundation
Matthew the Money-getter	/en/article/Ralph_Zehr/Matthew_the_Money_getter	Ralph Zehr	Jesus' followers, Urantia Foundation
Noteworthy Decisions from the October 2013 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_October_2013_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Urantia Books En Route to the Philippines	/en/article/Mike_Wood/Urantia_Books_En_Route_to_the_Philippines	Mike Wood	Dissemination, Urantia Foundation
A Filmmaker's Approach to Promoting The Urantia Book	/en/article/Richard_Jernigan/A_Filmmakers_Approach_to_Promoting_The_Urantia_Book	Richard Jernigan	Urantia Foundation
The Urantia Book Study Group Directory	/en/article/Bill_Beasley/The_Urantia_Book_Study_Group_Directory	Bill Beasley	Study Groups, Urantia Foundation
Holiday Party at Urantia Foundation	/en/article/UF_News_Online/Holiday_Party_at_Urantia_Foundation	---	Urantia Foundation
Adventures in Placing The Urantia Book	/en/article/Share_Beasley/Adventures_in_Placing_The_Urantia_Book	Share Beasley	Dissemination, Urantia Foundation
Growing Old Gracefully	/en/article/Mo_Siegel/Growing_Old_Gracefully	Mo Siegel	Urantia Foundation
Job Opening At Urantia Foundation	/en/article/UF_News_Online/Announcement_of_Executive_Director_Position	---	Urantia Foundation
A Reader's Comment	/en/article/UF_News_Online/A_Readers_Comment_2013_12	---	Urantia Foundation
Volume 8, 2014	---	is-volume	---
Volume 8, Issue 1, March 2014	/image/article/UF_News_Online/covers/2014_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2014_03	---	Urantia Foundation
A Survey of Translators and Revisers of The Urantia Book	/en/article/Georges_Michelson_Dupont/A_Survey_of_Translators_and_Revisers_of_The_Urantia_Book	Georges Michelson-Dupont	Urantia Foundation
Noteworthy Decisions from the January 2014 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_January_2014_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Urantia Book in the Philippines: an Outreach Project Update	/en/article/Mike_Wood/The_Urantia_Book_in_the_Philippines_an_Outreach_Project_Update	Mike Wood	Urantia Foundation
Restoring the Birthplace of the Fifth Epochal Revelation	/en/article/Joanne_Strobel/Restoring_the_Birthplace_of_the_Fifth_Epochal_Revelation	Joanne Strobel	Urantia Foundation
Churchification	/en/article/Richard_Keeler/Churchification	Richard Keeler	Urantia Movement, Bill Sadler, Urantia Foundation
The Study Group Symposium	/en/article/James_Woodward/The_Study_Group_Symposium	James Woodward	Study Groups, Urantia Foundation
Preparing For My First International Conference	/en/article/Geoff_Theiss/Preparing_For_My_First_International_Conference	Geoff Theiss	Urantia Movement Event, Urantia Foundation
What the Women Are Planning: a Report from our Second Gathering	/en/article/Line_St_Pierre/What_the_Women_Are_Planning_a_Report_from_our_Second_Gathering	Line St-Pierre	Urantia Movement Event, Urantia Foundation
A Reader's Comment	/en/article/UF_News_Online/A_Readers_Comment_2014_03	---	Urantia Foundation
Volume 8, Issue 2, July 2014	/image/article/UF_News_Online/covers/2014_07.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2014_07	---	Urantia Foundation
Behind the Scenes of the Hebrew Translation Project	/en/article/Gabriel_Rymberg/Behind_the_Scenes_of_the_Hebrew_Translation_Project	Gabriel Rymberg	The Urantia Book—Hebrew, Urantia Foundation
Noteworthy Decisions from the April 2014 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_April_2014_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Urantia Book: A Blessing for Ukraine	/en/article/Anton_Miroshnichenko/The_Urantia_Book_A_Blessing_for_Ukraine	Anton Miroshnichenko	Dissemination, Urantia Foundation
The International Book Fair in Bogotá, Colombia	/en/article/Wilson_Leon/The_International_Book_Fair_in_Bogota_Colombia	Wilson León	Dissemination, Latin America, Urantia Foundation
Second In-depth Revision of the French Translation	/en/article/Jean_Royer/Second_In_depth_Revision_of_the_French_Translation	Jean Royer	The Urantia Book—French, Urantia Foundation
The Urantia Book Study Group Directory	/en/article/Scott_Brooks/The_Urantia_Book_Study_Group_Directory	Scott Brooks	Study Groups, Urantia Foundation
Journal of a Journey: Seeding Urantia Books in the Caribbean	/en/article/Share_Beasley/Journal_of_a_Journey_Seeding_Urantia_Books_in_the_Caribbean	Share Beasley	Dissemination, Urantia Foundation
The Urantia Book in the Philippines	/en/article/Eugene_Asidao/The_Urantia_Book_in_the_Philippines	Eugene Asidao	Dissemination, Urantia Foundation
A Workshop on the Soul	/en/article/UF_News_Online/A_Workshop_on_the_Soul	---	Urantia Foundation
Trip to the Holy Land	/en/article/Carolyn_Moon/Trip_to_the_Holy_Land	Carolyn Moon	Urantia Foundation
Volume 8, Issue 3, Sept. 2014	/image/article/UF_News_Online/covers/2014_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2014_09	---	Urantia Foundation
Happenings in Indonesia	/en/article/Widi_Nogroho/Happenings_in_Indonesia	Widi Nogroho	Dissemination, Urantia Foundation
Noteworthy Decisions from the July 2014 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_July_2014_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Urantia Book in Guatemala	/en/article/Gerardo_Leche/The_Urantia_Book_in_Guatemala	Gerardo Leche	Dissemination, Latin America, Urantia Foundation
Joint Seminar of the Education Committees of Three Major Urantia Organizations	/en/article/David_Kulieke/Joint_Seminar_of_the_Education_Committees_of_Three_Major_Urantia_Organizations	David Kulieke	Urantia Foundation
International Conference 2014: A Personal Experience	/en/article/Sandra_Burga_Cisneros/International_Conference_2014_A_Personal_Experience	Sandra Burga-Cisneros	Urantia Movement Event, Urantia Foundation
A Dream Come True: Experiencing Urantia Foundation and the Study Group Symposium	/en/article/Cesar_Paulo_Zapello/A_Dream_Come_True_Experiencing_Urantia_Foundation_and_the_Study_Group_Symposium	Cesar Paulo Zapello	Study Groups, Urantia Foundation
The Study Group Symposium: Report on the Speeches	/en/article/Richard_Keeler/The_Study_Group_Symposium_Report_on_the_Speeches	Richard Keeler	Study Groups, Urantia Foundation
The Beauty of Sharing: Seeding the teachings in Indonesia	/en/article/Betty_Tresnawaty/The_Beauty_of_Sharing_Seeding_the_teachings_in_Indonesia	Betty Tresnawaty	Dissemination, Urantia Foundation
Finding The Urantia Book in Nigeria: an Answer to my Childhood Prayer	/en/article/Olusegun_Falola/Finding_The_Urantia_Book_in_Nigeria_an_Answer_to_my_Childhood_Prayer	Olusegun Falola	Dissemination, Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2014_09	---	Urantia Foundation
Volume 8, Issue 4, Dec. 2014	/image/article/UF_News_Online/covers/2014_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2014_12	---	Urantia Foundation
Urantia Foundation's Year-End Fundraising Match	/en/article/UF_News_Online/Urantia_Foundations_Year_End_Fundraising_Match	---	Urantia Foundation
Noteworthy Decisions from the October 2014 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_October_2014_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Urantia, Nebadon, and the Master Universe: A New Film on Perspectipe	/en/article/Richard_Jernigan/Urantia_Nebadon_and_the_Master_Universe_A_New_Film_on_Perspectipe	Richard Jernigan	Urantia Foundation
An Update from the Education Committee	/en/article/Gard_Jameson/An_Update_from_the_Education_Committee	Gard Jameson	Urantia Foundation
A Beach Retreat: What Prayer Was to Jesus	/en/article/Share_Beasley/A_Beach_Retreat_What_Prayer_Was_to_Jesus	Share Beasley	Urantia Movement Event, Urantia Foundation
Reflections from The Women's Retreat	/en/article/UF_News_Online/Reflections_from_The_Womens_Retreat	---	Urantia Movement Event, Urantia Foundation
Comments from the Soul Workshop	/en/article/UF_News_Online/Comments_from_the_Soul_Workshop	---	Urantia Movement Event, Urantia Foundation
What The Urantia Book Means to Me	/en/article/Rick_Lyon/What_The_Urantia_Book_Means_to_Me	Rick Lyon	Urantia Foundation
Urantia Book Holiday Sale	/en/article/UF_News_Online/Urantia_Book_Holiday_Sale_2	---	Urantia Foundation
Volume 9, 2015	---	is-volume	---
Volume 9, Issue 1, March 2015	/image/article/UF_News_Online/covers/2015_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2015_03	---	Urantia Foundation
A Urantia Book Booth at the Parliament of the Worlds Religions	/en/article/James_Woodward/A_Urantia_Book_Booth_at_the_Parliament_of_the_Worlds_Religions	James Woodward	Urantia Movement Event, Urantia Foundation
Foundation Highlights of 2014	/en/article/Mo_Siegel/Foundation_Highlights_of_2014	Mo Siegel	Urantia Foundation
Noteworthy Decisions from the January 2015 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_January_2015_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The 2015 Intemational Book Fair in Jerusalem	/en/article/Gabriel_Rymberg/The_2015_Intemational_Book_Fair_in_Jerusalem	Gabriel Rymberg	Urantia Foundation
Disseminating The Urantia Book in Ukraine	/en/article/Anton_Miroshnichenko/Disseminating_The_Urantia_Book_in_Ukraine	Anton Miroshnichenko	Dissemination, Urantia Foundation
What The Urantia Book Means to Me?	/en/article/Devon_Landis/What_The_Urantia_Book_Means_to_Me	Devon Landis	Urantia Foundation
Urantia Book Outreach in the Philippines	/en/article/Eugene_Asidao/Urantia_Book_Outreach_in_the_Philippines	Eugene Asidao	Dissemination, Urantia Foundation
How Discovering The Urantia Book Has Affected My Life	/en/article/Bill_Evans/How_Discovering_The_Urantia_Book_Has_Affected_My_Life	Bill Evans	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2015_03	---	Urantia Foundation
Volume 9, Issue 2, June 2015	/image/article/UF_News_Online/covers/2015_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2015_06	---	Urantia Foundation
The Italian Translation of The Urantia Book	/en/article/Guglielmo_Memo_Z/The_Italian_Translation_of_The_Urantia_Book	Guglielmo “Memo” Z.	The Urantia Book—Italian, Urantia Foundation
Noteworthy Decisions from the April 2015 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_April_2015_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
My Reflections after the Book Expo America	/en/article/Victor_Garcia_Bory/My_Reflections_after_the_Book_Expo_America	Víctor García-Bory	Dissemination, Urantia Foundation
The Bogotá International Book Fair	/en/article/Isabel_Reinoso_et_al/The_Bogota_International_Book_Fair	Isabel Reinoso et al.	Dissemination, Latin America, Urantia Foundation
A Cooperative Venture at the Chicago Lit Fest	/en/article/David_Kulieke/A_Cooperative_Venture_at_the_Chicago_Lit_Fest	David Kulieke	Urantia Foundation
The Foundation's Photo Gallery: Preserving History	/en/article/UF_News_Online/The_Foundations_Photo_Gallery_Preserving_History	---	Urantia Foundation
What The Urantia Book Means to Me	/en/article/Andrea_Barnes/What_The_Urantia_Book_Means_to_Me	Andrea Barnes	Urantia Foundation
My Quest to Find Answers	/en/article/Cesar_Paulo_Zapello/My_Quest_to_Find_Answers	Cesar Paulo Zapello	Urantia Foundation
Annoucements	/en/article/UF_News_Online/Annoucements_2015_06	---	Urantia Foundation
Volume 9, Issue 3, Sept. 2015	/image/article/UF_News_Online/covers/2015_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2015_09	---	Urantia Foundation
A Gathering of Readers in Italy	/en/article/Georges_Michelson_Dupont/A_Gathering_of_Readers_in_Italy	Georges Michelson-Dupont	Urantia Movement Event, Urantia Foundation
Noteworthy Decisions from the July 2015 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_July_2015_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Highest Joy	/en/article/Gard_Jameson/The_Highest_Joy	Gard Jameson	Urantia Foundation
Remembering Luiz Carlos Dolabela Chagas	/en/article/Susana_Hutner/Remembering_Luiz_Carlos_Dolabela_Chagas	Susana Hutner	Urantia Foundation
The Worship Experience at SSS15	/en/article/Sherry_Layton/The_Worship_Experience_at_SSS15	Sherry Layton	Urantia Movement Event, Urantia Foundation
Looking Back at the UAI 2015 Québec Conference	/en/article/Gilles_Brien/Looking_Back_at_the_UAI_2015_Quebec_Conference	Gilles Brien	Urantia Movement Event, Urantia Foundation
October 12, 1955	/en/article/Carolyn_Kendall/October_12_1955	Carolyn Kendall	The Urantia Book—History, Urantia Foundation
Thoughts and Reflections on What The Urantia Book Means to me	/en/article/Lourdes_Burga_Cisneros/Thoughts_and_Reflections_on_What_The_Urantia_Book_Means_to_me	Lourdes Burga-Cisneros	Urantia Foundation
Volume 9, Issue 4, Dec. 2015	/image/article/UF_News_Online/covers/2015_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2015_12	---	Urantia Foundation
Urantia Foundation's Year-End Fundraising Match	/en/article/UF_News_Online/Urantia_Foundations_Year_End_Fundraising_Match_2	---	Urantia Foundation
Noteworthy Decisions from the October 2015 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_October_2015_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Urantia Book at the Parliament of the World's Religions	/en/article/Richard_Jernigan/The_Urantia_Book_at_the_Parliament_of_the_Worlds_Religions	Richard Jernigan	Urantia Movement Event, Urantia Foundation
Money Matters Matter	/en/article/Ralph_Zehr/Money_Matters_Matter	Ralph Zehr	Urantia Foundation
The Work of the Urantia Book Internet School (UBIS)	/en/article/David_Elders/The_Work_of_the_Urantia_Book_Internet_School_UBIS	David Elders	UBIS, Urantia Foundation
Living a Compassionate Life—A Urantia Foundation Workshop	/en/article/David_Teeney/Living_a_Compassionate_Life_A_Urantia_Foundation_Workshop	David Teeney	Urantia Foundation
Dancing with God: Weaving the Tapestry of the Supreme	/en/article/Line_St_Pierre_et_al/Dancing_with_God_Weaving_the_Tapestry_of_the_Supreme	Line St-Pierre et al.	Urantia Movement Event, Urantia Foundation
